Sentence;Intent
Can you recommend a good Italian restaurant nearby?;find_restaurant
I'm craving sushi - where's the best place to get it around here?;find_restaurant
What's the best burger joint in town?;find_restaurant
I'm looking for a romantic restaurant with a view any suggestions?;find_restaurant
I need to find a family-friendly restaurant with a kids' menu any ideas?;find_restaurant
I'm trying to find a restaurant that serves vegetarian food any recommendations?;find_restaurant
Where's the best place to get brunch around here?;find_restaurant
Can you suggest a restaurant with outdoor seating?;find_restaurant
I'm looking for a place to celebrate a special occasion any recommendations?;find_restaurant
What's the best seafood restaurant in town?;find_restaurant
I'm in the mood for Thai food - where's the best place to go?;find_restaurant
I'm looking for a restaurant with live music any ideas?;find_restaurant
Can you suggest a restaurant with a good happy hour?;find_restaurant
I need to find a restaurant that's open late any suggestions?;find_restaurant
What's the best pizza place around here?;find_restaurant
I'm trying to find a restaurant that's budget-friendly any recommendations?;find_restaurant
Where's the best place to get a steak in town?;find_restaurant
I'm looking for a trendy restaurant with a modern vibe any ideas?;find_restaurant
Can you suggest a restaurant with a good wine list?;find_restaurant
I need to find a restaurant that's good for a big group any suggestions?;find_restaurant
What's the best place to get Chinese food around here?;find_restaurant
I'm trying to find a restaurant that's wheelchair accessible any recommendations?;find_restaurant
Where's the best place to get a quick bite to eat?;find_restaurant
I'm looking for a restaurant with a view of the water any ideas?;find_restaurant
Can you suggest a restaurant that's good for a first date?;find_restaurant
I need to find a restaurant that's good for a business lunch any suggestions?;find_restaurant
What's the best place to get Indian food in town?;find_restaurant
I'm trying to find a restaurant that's good for a romantic dinner any recommendations?;find_restaurant
Where's the best place to get a sandwich around here?;find_restaurant
I'm looking for a restaurant that's good for a birthday party any ideas?;find_restaurant
When is the next bus to downtown?;find_next_bus
What time does the bus to the airport leave?;find_next_bus
How often do the buses run on this route?;find_next_bus
Can you tell me which bus goes to the shopping mall?;find_next_bus
Is there a bus that goes to the train station?;find_next_bus
What time is the last bus of the day?;find_next_bus
How much does a bus ticket cost?;find_next_bus
Which bus should I take to get to the museum?;find_next_bus
What's the schedule for the bus to the university?;find_next_bus
Is there a bus that goes to the beach?;find_next_bus
What time is the first bus in the morning?;find_next_bus
How long does it take to get to the city center by bus?;find_next_bus
Can you tell me which bus goes to the park?;find_next_bus
When is the next bus to the concert hall?;find_next_bus
How often do the buses run on weekends?;find_next_bus
Which bus should I take to get to the hospital?;find_next_bus
What's the schedule for the express bus to downtown?;find_next_bus
Is there a night bus that goes to this neighborhood?;find_next_bus
How much does a monthly bus pass cost?;find_next_bus
Can you tell me which bus goes to the movie theater?;find_next_bus
What time is the next bus to the stadium?;find_next_bus
How long does it take to get to the airport by bus?;find_next_bus
Which bus should I take to get to the zoo?;find_next_bus
What's the schedule for the bus to the shopping center?;find_next_bus
Is there a bus that goes to the downtown area?;find_next_bus
When is the next bus to the amusement park?;find_next_bus
How often do the buses run on holidays?;find_next_bus
Can you tell me which bus goes to the art museum?;find_next_bus
What's the forecast for this weekend?;weather_forecast
Is it going to rain tomorrow?;weather_forecast
What's the weather going to be like for my trip next week?;weather_forecast
Will it be hot today?;weather_forecast
Can you tell me if it's going to snow this week?;weather_forecast
